IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum
5,05358,A15-A34,M,1,0,1583020800000
5,05370,A15-A34,M,1,0,1583020800000
5,05370,A15-A34,M,1,0,1583020800000
5,05370,A15-A34,W,1,0,1583020800000
5,05370,A15-A34,W,3,0,1583020800000
5,05370,A35-A59,M,1,0,1583020800000
5,05370,A35-A59,M,1,0,1583020800000
5,05370,A35-A59,M,1,0,1583020800000
5,05370,A35-A59,W,1,0,1583020800000
5,05370,A35-A59,W,1,0,1583020800000
5,05370,A35-A59,W,2,0,1583020800000
5,05370,A60-A79,M,1,0,1583020800000
5,05370,A60-A79,W,1,0,1583020800000
5,05515,A35-A59,M,1,0,1583020800000
6,06531,A15-A34,M,1,0,1583020800000
6,06532,A15-A34,M,1,0,1583020800000
6,06532,A35-A59,M,1,0,1583020800000
8,08116,A15-A34,W,1,0,1583020800000
8,08121,A15-A34,M,1,0,1583020800000
9,09178,A35-A59,M,1,0,1583020800000
9,09188,A35-A59,M,1,0,1583020800000
9,09565,A35-A59,W,1,0,1583020800000
12,12065,A35-A59,M,1,0,1583020800000
1,01053,A15-A34,W,1,0,1583107200000
1,01062,A35-A59,W,1,0,1583107200000
3,03352,A60-A79,M,1,0,1583107200000
3,03352,A60-A79,W,1,0,1583107200000
4,04011,A35-A59,M,1,0,1583107200000
5,05113,A35-A59,W,1,0,1583107200000
5,05162,A15-A34,M,1,0,1583107200000
5,05315,A35-A59,W,1,0,1583107200000
5,05334,A15-A34,W,1,0,1583107200000
5,05358,A15-A34,M,1,0,1583107200000
5,05370,A15-A34,M,1,0,1583107200000
5,05370,A15-A34,W,1,0,1583107200000
5,05370,A35-A59,M,1,0,1583107200000
5,05370,A35-A59,M,1,0,1583107200000
5,05370,A35-A59,M,1,0,1583107200000
5,05370,A35-A59,M,2,0,1583107200000
5,05370,A60-A79,W,1,0,1583107200000
5,05378,A60-A79,W,1,0,1583107200000
5,05554,A15-A34,W,1,0,1583107200000
6,06412,A15-A34,M,2,0,1583107200000
6,06412,A15-A34,M,1,0,1583107200000
6,06434,A15-A34,M,1,0,1583107200000
8,08116,A60-A79,W,1,0,1583107200000
8,08117,A15-A34,M,1,0,1583107200000
8,08118,A35-A59,M,1,0,1583107200000
8,08125,A15-A34,W,1,0,1583107200000
8,08125,A35-A59,M,1,0,1583107200000
8,08125,A35-A59,M,1,0,1583107200000
8,08125,A35-A59,W,1,0,1583107200000
8,08125,A80+,M,1,0,1583107200000
8,08222,A35-A59,M,1,0,1583107200000
8,08222,A60-A79,M,1,0,1583107200000
8,08417,A60-A79,M,1,0,1583107200000
9,09162,A35-A59,M,1,0,1583107200000
9,09162,A35-A59,W,1,0,1583107200000
9,09162,A60-A79,M,1,0,1583107200000
9,09175,A35-A59,M,1,0,1583107200000
9,09564,A15-A34,W,1,0,1583107200000
9,09564,A35-A59,M,1,0,1583107200000
14,14628,A60-A79,M,1,0,1583107200000
1,01056,A35-A59,M,1,0,1583193600000
2,02000,A60-A79,M,1,0,1583193600000
3,03241,A60-A79,M,1,0,1583193600000
3,03352,A15-A34,M,1,0,1583193600000
3,03352,A15-A34,W,1,0,1583193600000
3,03357,A60-A79,M,1,0,1583193600000
3,03357,A60-A79,W,1,0,1583193600000
3,03451,A15-A34,M,1,0,1583193600000
4,04011,A35-A59,M,1,0,1583193600000
4,04011,A35-A59,W,1,0,1583193600000
5,05162,A35-A59,M,1,0,1583193600000
5,05166,A15-A34,M,1,0,1583193600000
5,05315,A15-A34,W,1,0,1583193600000
5,05315,A35-A59,M,1,0,1583193600000
5,05315,A35-A59,M,2,0,1583193600000
5,05315,A35-A59,W,1,0,1583193600000
5,05315,A35-A59,W,1,0,1583193600000
5,05370,A15-A34,M,1,0,1583193600000
5,05370,A15-A34,M,2,0,1583193600000
5,05370,A15-A34,W,1,0,1583193600000
5,05370,A15-A34,W,1,0,1583193600000
5,05370,A15-A34,W,2,0,1583193600000
5,05370,A35-A59,M,1,0,1583193600000
5,05370,A35-A59,M,2,0,1583193600000
