state,county,date,sex,age,caseState,count
8,8116,35,1,2,0,1
8,8116,35,1,3,0,1
8,8116,35,0,3,0,1
8,8119,35,0,1,0,1
8,8119,35,1,3,0,1
8,8121,35,0,3,0,1
8,8136,35,0,3,0,1
8,8215,35,1,2,0,1
8,8315,35,0,1,0,1
8,8315,35,1,3,0,1
8,8315,35,1,4,0,1
8,8336,35,1,3,0,1
8,8417,35,0,2,0,1
8,8417,35,1,3,0,1
8,8421,35,1,1,0,1
8,8421,35,0,3,0,1
8,8436,35,1,3,0,1
9,9162,35,0,3,0,1
9,9175,35,1,2,0,1
9,9184,35,0,1,0,1
9,9184,35,1,3,0,1
9,9187,35,1,3,0,1
9,9275,35,1,3,0,1
11,11001,35,0,2,0,1
11,11001,35,1,3,0,1
11,11007,35,1,2,0,1
11,11008,35,1,4,0,1
11,11010,35,1,3,0,1
13,13075,35,1,4,0,1
13,13075,35,0,4,0,1
16,16075,35,1,3,0,1
2,2000,36,1,3,0,1
2,2000,36,0,3,0,2
3,3241,36,1,4,0,1
3,3456,36,1,2,0,1
3,3457,36,0,2,0,1
5,5111,36,1,3,0,2
5,5112,36,0,2,0,1
5,5315,36,1,3,0,1
5,5315,36,1,4,0,1
5,5334,36,1,2,0,7
5,5334,36,0,2,0,5
5,5334,36,1,3,0,1
5,5334,36,0,3,0,2
5,5334,36,1,4,0,2
5,5358,36,0,2,0,2
5,5370,36,1,2,0,7
5,5370,36,0,2,0,11
5,5370,36,1,3,0,9
5,5370,36,0,3,0,12
5,5370,36,1,4,0,1
5,5370,36,1,4,0,1
5,5370,36,1,4,1,1
5,5382,36,1,3,0,1
5,5515,36,0,2,0,2
5,5558,36,0,1,0,3
5,5558,36,1,2,0,1
5,5558,36,1,3,0,3
5,5558,36,0,3,0,3
5,5558,36,1,5,0,1
5,5766,36,0,3,0,1
5,5911,36,1,4,0,1
5,5962,36,1,3,0,1
5,5962,36,0,3,0,1
6,6412,36,1,3,0,1
6,6434,36,0,3,0,1
7,7111,36,0,2,0,1
7,7315,36,0,4,0,1
7,7332,36,0,3,0,1
7,7334,36,1,3,0,1
8,8111,36,0,3,0,1
8,8116,36,0,2,0,3
8,8116,36,1,3,0,1
8,8116,36,0,3,0,2
8,8117,36,1,3,0,1
8,8118,36,1,3,0,1
8,8118,36,1,4,0,1
8,8125,36,1,4,0,1
8,8125,36,1,5,0,1
8,8125,36,0,5,0,1
8,8125,36,0,5,0,1
8,8125,36,0,5,1,1
8,8128,36,0,3,0,1
8,8136,36,0,2,0,1
8,8136,36,0,3,0,1
8,8221,36,1,3,0,2
8,8222,36,0,2,0,1
8,8315,36,1,3,0,1
8,8316,36,0,4,0,1
8,8417,36,1,2,0,2
8,8417,36,0,2,0,2
8,8417,36,1,3,0,2
8,8417,36,0,3,0,1
8,8417,36,1,4,0,1
8,8417,36,0,4,0,1
8,8421,36,1,3,0,1
8,8425,36,1,2,0,1
8,8425,36,1,3,0,2
8,8435,36,1,3,0,1
8,8437,36,1,3,0,1
9,9162,36,1,3,0,2
9,9162,36,0,3,0,1
9,9178,36,1,3,0,1
9,9275,36,1,2,0,1
9,9372,36,0,2,0,1
9,9564,36,1,3,0,1
9,9564,36,0,3,0,1
9,9576,36,1,3,0,1
9,9771,36,0,2,0,1
11,11002,36,0,2,0,2
11,11003,36,1,2,0,1
13,13071,36,1,3,0,1
13,13073,36,1,3,0,1
13,13076,36,0,4,0,1
1,1051,37,0,2,0,1
2,2000,37,0,2,0,3
2,2000,37,1,3,0,1
2,2000,37,0,3,0,1
2,2000,37,0,4,0,1
3,3101,37,0,2,0,1
3,3351,37,1,2,0,1
3,3351,37,0,2,0,1
3,3351,37,1,3,0,1
3,3359,37,1,3,0,1
3,3459,37,1,3,0,1
5,5166,37,1,2,0,1
5,5166,37,0,3,0,1
5,5315,37,1,2,0,1
5,5315,37,1,3,0,1
5,5315,37,1,4,0,1
5,5315,37,0,4,0,1
5,5315,37,0,5,0,1
5,5334,37,1,2,0,5
5,5334,37,0,2,0,4
5,5334,37,1,3,0,1
5,5334,37,0,3,0,3
5,5334,37,1,4,0,1
5,5334,37,0,4,0,1
5,5366,37,1,4,0,1
5,5370,37,1,0,0,1
5,5370,37,1,2,0,15
5,5370,37,0,2,0,11
5,5370,37,1,3,0,14
5,5370,37,0,3,0,13
5,5374,37,1,3,0,1
5,5374,37,0,4,0,2
5,5382,37,0,3,0,1
5,5513,37,0,2,0,1
5,5513,37,1,3,0,1
5,5515,37,0,0,0,1
5,5554,37,0,1,0,2
5,5554,37,1,2,0,1
5,5554,37,1,3,0,1
5,5913,37,1,4,0,1
5,5913,37,0,4,0,1
5,5962,37,1,3,0,1
5,5978,37,0,4,0,1
6,6412,37,0,3,0,2
6,6439,37,0,2,0,1
6,6531,37,0,2,0,1
6,6535,37,0,2,0,1
6,6635,37,0,4,0,1
7,7111,37,0,3,0,1
8,8111,37,1,3,0,2
8,8115,37,1,2,0,1
8,8115,37,0,3,0,1
8,8116,37,1,2,0,2
8,8116,37,0,2,0,1
8,8116,37,1,4,0,1
8,8116,37,0,4,0,1
8,8118,37,0,2,0,1
8,8118,37,1,3,0,1
8,8119,37,1,3,0,1
8,8121,37,1,3,0,1
8,8125,37,1,2,0,1
8,8125,37,1,3,0,2
8,8125,37,0,3,0,2
8,8126,37,0,3,0,1
8,8128,37,1,0,0,1
8,8128,37,1,2,0,1
8,8128,37,1,3,0,1
8,8128,37,0,3,0,2
8,8222,37,0,2,0,2
8,8226,37,1,3,0,1
8,8226,37,0,3,0,1
8,8235,37,1,2,0,1
8,8315,37,0,3,0,1
8,8317,37,1,2,0,1
8,8317,37,0,2,0,2
8,8417,37,0,3,0,1
8,8417,37,1,4,0,1
8,8436,37,0,3,0,1
9,9162,37,1,1,0,1
9,9162,37,0,2,0,2
9,9162,37,1,3,0,1
9,9162,37,0,3,0,1
9,9178,37,1,4,0,1
9,9182,37,1,3,0,1
9,9184,37,1,3,0,1
9,9184,37,0,3,0,1
9,9188,37,1,3,0,1
