IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum
1,01051,A15-A34,W,1,0,1583366400000
2,02000,A15-A34,W,1,0,1583366400000
2,02000,A15-A34,W,2,0,1583366400000
2,02000,A35-A59,M,1,0,1583366400000
2,02000,A35-A59,W,1,0,1583366400000
2,02000,A60-A79,W,1,0,1583366400000
3,03101,A15-A34,W,1,0,1583366400000
3,03351,A15-A34,M,1,0,1583366400000
3,03351,A15-A34,W,1,0,1583366400000
3,03351,A35-A59,M,1,0,1583366400000
3,03359,A35-A59,M,1,0,1583366400000
3,03459,A35-A59,M,1,0,1583366400000
5,05166,A15-A34,M,1,0,1583366400000
5,05166,A35-A59,W,1,0,1583366400000
5,05315,A15-A34,M,1,0,1583366400000
5,05315,A35-A59,M,1,0,1583366400000
5,05315,A60-A79,M,1,0,1583366400000
5,05315,A60-A79,W,1,0,1583366400000
5,05315,A80+,W,1,0,1583366400000
5,05334,A15-A34,M,1,0,1583366400000
5,05334,A15-A34,M,1,0,1583366400000
5,05334,A15-A34,M,1,0,1583366400000
5,05334,A15-A34,M,2,0,1583366400000
5,05334,A15-A34,W,1,0,1583366400000
5,05334,A15-A34,W,1,0,1583366400000
5,05334,A15-A34,W,1,0,1583366400000
5,05334,A15-A34,W,1,0,1583366400000
5,05334,A35-A59,M,1,0,1583366400000
5,05334,A35-A59,W,1,0,1583366400000
5,05334,A35-A59,W,1,0,1583366400000
5,05334,A35-A59,W,1,0,1583366400000
5,05334,A60-A79,M,1,0,1583366400000
5,05334,A60-A79,W,1,0,1583366400000
5,05366,A60-A79,M,1,0,1583366400000
5,05370,A00-A04,M,1,0,1583366400000
5,05370,A15-A34,M,2,0,1583366400000
5,05370,A15-A34,M,2,0,1583366400000
5,05370,A15-A34,M,2,0,1583366400000
5,05370,A15-A34,M,1,0,1583366400000
5,05370,A15-A34,M,3,0,1583366400000
5,05370,A15-A34,M,1,0,1583366400000
5,05370,A15-A34,M,3,0,1583366400000
5,05370,A15-A34,M,1,0,1583366400000
5,05370,A15-A34,W,1,0,1583366400000
5,05370,A15-A34,W,2,0,1583366400000
5,05370,A15-A34,W,3,0,1583366400000
5,05370,A15-A34,W,2,0,1583366400000
5,05370,A15-A34,W,1,0,1583366400000
5,05370,A15-A34,W,2,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,3,0,1583366400000
5,05370,A35-A59,M,2,0,1583366400000
5,05370,A35-A59,M,3,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,M,1,0,1583366400000
5,05370,A35-A59,W,1,0,1583366400000
5,05370,A35-A59,W,2,0,1583366400000
5,05370,A35-A59,W,3,0,1583366400000
5,05370,A35-A59,W,1,0,1583366400000
5,05370,A35-A59,W,4,0,1583366400000
5,05370,A35-A59,W,1,0,1583366400000
5,05370,A35-A59,W,1,0,1583366400000
5,05374,A35-A59,M,1,0,1583366400000
5,05374,A60-A79,W,2,0,1583366400000
5,05382,A35-A59,W,1,0,1583366400000
5,05513,A15-A34,W,1,0,1583366400000
5,05513,A35-A59,M,1,0,1583366400000
5,05515,A00-A04,W,1,0,1583366400000
5,05554,A05-A14,W,1,0,1583366400000
5,05554,A05-A14,W,1,0,1583366400000
5,05554,A15-A34,M,1,0,1583366400000
5,05554,A35-A59,M,1,0,1583366400000
5,05913,A60-A79,M,1,0,1583366400000
5,05913,A60-A79,W,1,0,1583366400000
5,05962,A35-A59,M,1,0,1583366400000
5,05978,A60-A79,W,1,0,1583366400000
6,06412,A35-A59,W,1,0,1583366400000
6,06412,A35-A59,W,1,0,1583366400000
6,06439,A15-A34,W,1,0,1583366400000
6,06531,A15-A34,W,1,0,1583366400000
6,06535,A15-A34,W,1,0,1583366400000
6,06635,A60-A79,W,1,0,1583366400000
7,07111,A35-A59,W,1,0,1583366400000
1,01056,A60-A79,W,1,0,1583452800000
1,01060,A60-A79,W,1,0,1583452800000
2,02000,A15-A34,M,1,0,1583452800000
2,02000,A15-A34,W,1,0,1583452800000
2,02000,A60-A79,M,1,1,1583452800000
3,03241,A35-A59,M,1,0,1583452800000
3,03241,A60-A79,W,1,0,1583452800000
3,03353,A00-A04,M,1,0,1583452800000
